Welcome	Hoş geldiniz
Hello	Merhaba
Goodbye	Hoşçakal
Find the nearest facility	En yakın tesisi bul
Get directions	Yol tarifi al
Search	Ara
Filter	Filtrele
Your location	Konumunuz
Settings	Ayarlar
Profile	Profil
Sign in	Giriş yap
Sign out	Çıkış yap
Create account	Hesap oluştur
Forgot password?	Şifrenizi mi unuttunuz?
Reset password	Şifreyi sıfırla
Save	Kaydet
Cancel	İptal
Delete	Sil
Edit	Düzenle
Update	Güncelle
Continue	Devam et
Back	Geri
Next	İleri
Done	Bitti
Close	Kapat
Yes	Evet
No	Hayır
OK	Tamam
Retry	Tekrar dene
Loading...	Yükleniyor...
Please wait	Lütfen bekleyin
No results found	Sonuç bulunamadı
Try again	Tekrar deneyin
Error	Hata
Something went wrong	Bir şeyler ters gitti
Connection lost	Bağlantı kesildi
You are offline	Çevrimdışısınız
Enable location services	Konum hizmetlerini etkinleştir
Location permission required	Konum izni gerekli
Allow	İzin ver
Deny	Reddet
Submit	Gönder
Send	Gönder
Message	Mesaj
Notifications	Bildirimler
New message	Yeni mesaj
Mark as read	Okundu olarak işaretle
Clear	Temizle
Refresh	Yenile
Help	Yardım
Support	Destek
Contact us	Bize ulaşın
Terms of service	Hizmet şartları
Privacy policy	Gizlilik politikası
Accept	Kabul et
Decline	Reddet
Language	Dil
Select language	Dil seç
Search history	Arama geçmişi
Recent	Son
Favorites	Favoriler
Add to favorites	Favorilere ekle
Remove from favorites	Favorilerden kaldır
Share	Paylaş
Copy	Kopyala
Paste	Yapıştır
Open	Aç
Open in browser	Tarayıcıda aç
Download	İndir
Upload	Yükle
Camera	Kamera
Gallery	Galeri
Take photo	Fotoğraf çek
Choose file	Dosya seç
Permission denied	İzin reddedildi
Required	Gerekli
Optional	İsteğe bağlı
Name	Ad
Email	E-posta
Phone	Telefon
Address	Adres
City	Şehir
Country	Ülke
Zip code	Posta kodu
Date	Tarih
Time	Saat
Today	Bugün
Tomorrow	Yarın
Yesterday	Dün
Start	Başlat
Stop	Durdur
Pause	Duraklat
Resume	Devam et
Confirm	Onayla
Are you sure?	Emin misiniz?
This action cannot be undone	Bu işlem geri alınamaz
Welcome back	Tekrar hoş geldiniz
Invalid credentials	Geçersiz kimlik bilgileri
Account locked	Hesap kilitlendi
Session expired	Oturum süresi doldu
Please sign in again	Lütfen tekrar giriş yapın
Password	Şifre
Show password	Şifreyi göster
Hide password	Şifreyi gizle
Remember me	Beni hatırla
Change password	Şifre değiştir
New password	Yeni şifre
Confirm password	Şifreyi onayla
Passwords do not match	Şifreler eşleşmiyor
Weak password	Zayıf şifre
Password updated	Şifre güncellendi
Username	Kullanıcı adı
Invalid email	Geçersiz e-posta
Invalid phone number	Geçersiz telefon numarası
Field is required	Alan gerekli
Minimum length	Minimum uzunluk
Maximum length	Maksimum uzunluk
Please enter a valid value	Lütfen geçerli bir değer girin
Search by name	İsme göre ara
Sort	Sırala
Sort by	Şuna göre sırala
Ascending	Artan
Descending	Azalan
Apply	Uygula
Reset	Sıfırla
Map	Harita
List	Liste
Details	Detaylar
View details	Detayları görüntüle
Call	Ara
Email us	Bize e-posta gönder
Website	Web sitesi
Distance	Mesafe
Estimated time	Tahmini süre
Minutes	Dakika
Hours	Saat
Days	Gün
KM	KM
Miles	Mil
Start navigation	Navigasyonu başlat
Stop navigation	Navigasyonu durdur
Recalculate	Yeniden hesapla
Arrived	Vardınız
Select	Seç
Selected	Seçildi
Deselect	Seçimi kaldır
Select all	Tümünü seç
Unselect all	Tüm seçimleri kaldır
Add	Ekle
Remove	Kaldır
Quantity	Miktar
Price	Fiyat
Total	Toplam
Subtotal	Ara toplam
Tax	Vergi
Discount	İndirim
Checkout	Ödeme
Cart	Sepet
Add to cart	Sepete ekle
Remove from cart	Sepetten kaldır
Place order	Sipariş ver
Order placed	Sipariş verildi
Order history	Sipariş geçmişi
Payment	Ödeme
Payment method	Ödeme yöntemi
Shipping	Kargo
Delivery	Teslimat
Tracking	Takip
Track order	Siparişi takip et
Invoice	Fatura
Billing address	Fatura adresi
Shipping address	Teslimat adresi
Same as billing	Fatura ile aynı
Change	Değiştir
Choose	Seç
Select date	Tarih seç
Select time	Saat seç
Available	Uygun
Unavailable	Uygun değil
Busy	Meşgul
Free	Uygun
Success	Başarılı
Failed	Başarısız
Warning	Uyarı
Information	Bilgi
Confirm delete	Silmeyi onayla
Item deleted	Öğe silindi
Item saved	Öğe kaydedildi
Changes saved	Değişiklikler kaydedildi
No internet connection	İnternet bağlantısı yok
Check your connection	Bağlantınızı kontrol edin
Update available	Güncelleme mevcut
Update now	Şimdi güncelle
Later	Daha sonra
Skip	Atla
Welcome to the app	Uygulamaya hoş geldiniz
Get started	Başlayın
Rate us	Bizi değerlendirin
Send feedback	Geri bildirim gönder
Version	Sürüm
About	Hakkında
Legal	Yasal

